condition_id,model,universe,lever_varied,level_varied,is_baseline,n_total,n_valid,n_api_fail,n_violated_valid,n_intact_valid,dr_violated,dr_intact,gap,gap_ci_lo,gap_ci_hi,effect_size,effect_ci_lo,effect_ci_hi,effect_boot_std,classification,ci_excludes_zero,cohens_h,parse_failure_rate,api_failure_rate,degenerate_variance,insufficient_n,n_parsed_strict12,n_parsed_fallback34,s1_as_no_effect,s1_classification,s2_as_random_effect,s2_classification,s3_arcsine_effect,s3_arcsine_gap_cond,s3_arcsine_gap_base,s3_classification,s4_parser_strict_effect,s4_ci_lo,s4_ci_hi,s4_classification,s5_parse_fail_flagged,s6_quartile_analysis,robustness_concern,hidden_signal_candidate,effect_size_shrunken
flash_L18_L4,deepseek-v4-flash,L2,18,L4,False,50,38,0,26,12,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.24,0.0,True,False,0,38,0.0147,Null,0.0074,Null,0.0,0.0,0.0,Null,,,,Unknown,True,,False,False,0.0
flash_baseline,deepseek-v4-flash,L2,,,True,50,50,0,34,16,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,Null,,0.0,0.0,0.0,True,False,0,50,0.0,Null,0.0,Null,0.0,0.0,0.0,Null,,,,Unknown,False,,False,False,
pro_L18_L4,deepseek-v4-pro,L2,18,L4,False,50,35,0,24,11,1.0,1.0,0.0,0.0,0.0,0.0037,,,0.0738,Null,,0.0,0.3,0.0,True,False,0,35,0.0221,Null,0.0129,Null,0.0154,0.0,-0.0154,Null,,,,Unknown,True,,False,False,0.0037
pro_baseline,deepseek-v4-pro,L2,,,True,50,50,0,34,16,0.0588,0.0625,-0.0037,-0.2308,0.0968,0.0,,,0.0,Null,,-0.0154,0.0,0.0,False,False,0,50,0.0,Null,0.0,Null,0.0,-0.0154,-0.0154,Null,,,,Unknown,False,,False,False,
